,Parameter,Mean_Group_CMUH_train,Mean_Group_CMUH_test,Mean_Group_WK,Mean_Group_AN
40,MN_LALS_LY,39.0 (3.8),39.0 (3.4),40.0 (4.7),42.0 (4.3)
41,MN_LALS_MO,80.0 (13.8),80.0 (13.5),79.0 (14.6),93.0 (18.3)
42,MN_LALS_NE,124.0 (23.0),124.0 (22.0),119.0 (22.7),140.0 (23.9)
43,MN_LMALS_EO,185.0 (9.8),185.0 (9.4),184.0 (10.7),184.0 (10.5)
44,MN_LMALS_LY,65.0 (5.7),64.0 (5.4),61.0 (5.3),65.0 (6.8)
45,MN_LMALS_MO,75.0 (5.7),75.0 (5.3),72.0 (5.7),76.0 (7.4)
46,MN_LMALS_NE,119.0 (10.8),120.0 (10.3),117.0 (10.3),120.0 (9.8)
47,MN_MALS_EO,201.0 (10.7),200.0 (10.2),200.0 (12.0),200.0 (11.9)
48,MN_MALS_LY,70.0 (6.8),69.0 (5.8),66.0 (5.4),72.0 (8.1)
49,MN_MALS_MO,89.0 (5.5),89.0 (4.8),84.0 (4.8),90.0 (7.1)
50,MN_MALS_NE,133.0 (7.4),133.0 (6.9),130.0 (6.9),133.0 (8.3)
51,MN_UMALS_EO,213.0 (14.0),212.0 (13.5),211.0 (16.2),211.0 (17.2)
52,MN_UMALS_LY,70.0 (9.8),68.0 (8.1),63.0 (7.4),68.0 (11.0)
53,MN_UMALS_MO,100.0 (6.7),99.0 (5.8),93.0 (5.7),97.0 (8.4)
54,MN_UMALS_NE,143.0 (6.6),142.0 (5.8),140.0 (6.4),140.0 (8.9)
55,MN_V_EO,155.0 (11.5),155.0 (11.4),151.0 (11.6),152.0 (10.0)
56,MN_V_LY,88.0 (5.9),89.0 (5.7),89.0 (5.8),89.0 (5.6)
57,MN_V_MO,174.0 (12.5),176.0 (12.1),172.0 (11.2),169.0 (11.9)
58,MN_V_NE,143.0 (11.1),144.0 (10.6),140.0 (10.4),138.0 (9.2)
59,SD_AL2_EO,10.6 (5.3),10.6 (5.4),10.9 (5.0),12.1 (5.7)
60,SD_AL2_LY,12.1 (1.6),12.1 (1.5),14.1 (2.0),13.4 (2.0)
61,SD_AL2_MO,17.5 (3.5),17.9 (3.4),19.9 (4.1),20.0 (3.8)
62,SD_AL2_NE,15.5 (3.1),15.7 (3.1),16.6 (2.4),17.9 (2.9)
63,SD_C_EO,4.1 (8.9),4.1 (8.6),4.6 (8.9),4.2 (8.0)
64,SD_C_LY,8.1 (3.2),8.2 (3.4),8.5 (2.9),7.4 (4.2)
65,SD_C_MO,5.0 (3.8),5.0 (3.6),5.4 (3.3),5.0 (3.4)
66,SD_C_NE,5.2 (1.4),5.2 (1.6),5.4 (1.0),4.9 (2.5)
67,SD_LALS_EO,38.8 (11.9),38.2 (11.9),39.1 (12.1),40.9 (10.6)
68,SD_LALS_LY,10.0 (2.0),10.1 (1.8),10.4 (2.7),11.7 (4.2)
69,SD_LALS_MO,24.4 (4.6),24.1 (4.4),26.1 (5.0),31.6 (6.0)
70,SD_LALS_NE,38.4 (5.9),37.5 (5.8),37.2 (5.6),45.0 (5.1)
71,SD_LMALS_EO,10.5 (4.3),10.5 (4.2),10.8 (4.8),10.7 (3.8)
72,SD_LMALS_LY,17.2 (2.6),17.4 (2.5),17.0 (2.1),16.5 (2.4)
73,SD_LMALS_MO,13.4 (2.3),13.5 (2.2),14.8 (2.1),14.2 (2.2)
74,SD_LMALS_NE,18.1 (3.1),17.8 (3.1),19.0 (2.6),18.5 (2.3)
75,SD_MALS_EO,8.5 (4.3),8.5 (4.2),8.8 (5.0),8.8 (4.3)
76,SD_MALS_LY,15.2 (3.0),15.1 (3.0),14.4 (2.4),14.6 (2.7)
77,SD_MALS_MO,10.3 (2.1),10.3 (2.1),10.8 (1.8),10.5 (2.0)
78,SD_MALS_NE,12.8 (2.1),12.6 (2.1),13.4 (1.8),13.3 (1.8)
79,SD_UMALS_EO,9.8 (5.7),9.8 (5.9),10.4 (6.8),10.6 (6.6)
80,SD_UMALS_LY,19.2 (3.3),18.8 (3.3),17.8 (2.7),19.5 (3.4)
81,SD_UMALS_MO,10.9 (2.6),11.0 (2.8),10.9 (2.5),11.4 (2.7)
82,SD_UMALS_NE,11.1 (2.0),11.0 (2.2),11.6 (1.7),11.7 (2.1)
83,SD_V_EO,16.8 (6.3),16.7 (6.2),16.5 (6.5),16.9 (5.4)
84,SD_V_LY,14.2 (3.4),14.4 (3.4),14.7 (4.8),14.5 (3.9)
85,SD_V_MO,20.8 (4.4),21.3 (4.2),21.9 (3.8),21.2 (3.9)
86,SD_V_NE,18.1 (3.9),18.2 (3.8),17.6 (2.7),17.2 (3.1)
